iter	Passed	Remaining
673	1136	549
674	1137	547
675	1139	546
676	1140	544
677	1141	542
678	1143	540
679	1144	538
680	1145	536
681	1147	534
682	1148	533
683	1149	531
684	1150	529
685	1152	527
686	1154	525
687	1155	523
688	1156	522
689	1157	520
690	1158	518
691	1160	516
692	1161	514
693	1162	512
694	1163	510
695	1165	508
696	1166	507
697	1167	505
698	1168	503
699	1170	501
700	1171	499
701	1172	497
702	1173	495
703	1174	494
704	1176	492
705	1177	490
706	1179	488
707	1181	487
708	1183	485
709	1184	483
710	1185	482
711	1187	480
712	1188	478
713	1189	476
714	1191	474
715	1192	472
716	1193	471
717	1194	469
718	1195	467
719	1197	465
720	1198	463
721	1199	462
722	1200	460
723	1202	458
724	1203	456
725	1204	454
726	1206	452
727	1207	451
728	1208	449
729	1209	447
730	1211	445
731	1212	443
732	1213	442
733	1215	440
734	1216	438
735	1217	436
736	1218	434
737	1220	433
738	1221	431
739	1222	429
740	1223	427
741	1224	425
742	1226	424
743	1227	422
744	1228	420
745	1230	418
746	1231	417
747	1232	415
748	1234	413
749	1237	412
750	1238	410
751	1240	408
752	1241	407
753	1242	405
754	1243	403
755	1244	401
756	1245	399
757	1247	398
758	1249	396
759	1251	395
760	1253	393
761	1254	391
762	1255	390
763	1257	388
764	1258	386
765	1259	384
766	1261	383
767	1263	381
768	1265	380
769	1266	378
770	1267	376
771	1269	374
772	1270	373
773	1271	371
774	1272	369
775	1274	367
776	1275	366
777	1276	364
778	1277	362
779	1279	360
780	1280	359
781	1281	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1288	348
787	1289	346
788	1290	345
789	1291	343
790	1293	341
791	1294	339
792	1295	338
793	1296	336
794	1297	334
795	1298	332
796	1299	331
797	1301	329
798	1302	327
799	1303	325
800	1305	324
801	1306	322
802	1307	320
803	1308	319
804	1310	317
805	1311	315
806	1312	313
807	1314	312
808	1315	310
809	1316	308
810	1317	307
811	1319	305
812	1320	303
813	1321	301
814	1322	300
815	1323	298
816	1325	296
817	1326	295
818	1327	293
819	1328	291
820	1329	289
821	1331	288
822	1332	286
823	1333	284
824	1335	283
825	1336	281
826	1337	279
827	1338	278
828	1340	276
829	1341	274
830	1342	273
831	1343	271
832	1345	269
833	1346	267
834	1347	266
835	1348	264
836	1349	262
837	1351	261
838	1352	259
839	1353	257
840	1354	256
841	1356	254
842	1357	252
843	1358	251
844	1360	249
845	1361	247
846	1362	246
847	1363	244
848	1364	242
849	1366	241
850	1367	239
851	1368	237
852	1369	236
853	1371	234
854	1372	232
855	1375	231
856	1377	229
857	1379	228
858	1380	226
859	1382	225
860	1384	223
861	1385	221
862	1387	220
863	1388	218
864	1390	216
865	1391	215
866	1392	213
867	1393	211
868	1395	210
869	1396	208
870	1397	207
871	1398	205
872	1400	203
873	1401	202
874	1402	200
875	1403	198
876	1404	197
877	1406	195
878	1407	193
879	1408	192
880	1409	190
881	1410	188
882	1411	187
883	1413	185
884	1414	183
885	1415	182
886	1416	180
887	1418	178
888	1419	177
889	1420	175
890	1421	173
891	1423	172
892	1424	170
893	1425	169
894	1426	167
895	1428	165
896	1429	164
897	1430	162
898	1431	160
899	1432	159
900	1433	157
901	1435	155
902	1436	154
903	1437	152
904	1438	150
905	1439	149
906	1440	147
907	1442	146
908	1443	144
909	1444	142
910	1445	141
911	1447	139
912	1448	138
913	1449	136
914	1450	134
